Dates,variable,feature_no,feature_name,value
15/11/17 00:00,4,355,,"175,38"
16/11/17 00:00,4,355,,
17/11/17 00:00,4,355,,
18/11/17 00:00,4,355,,"403,62"
19/11/17 00:00,4,355,,
20/11/17 00:00,4,355,,"599,89"
21/11/17 00:00,4,355,,"123,74"
22/11/17 00:00,4,355,,
23/11/17 00:00,4,355,,
24/11/17 00:00,4,355,,"5932,24"
25/11/17 00:00,4,355,,"409,2"
26/11/17 00:00,4,355,,
27/11/17 00:00,4,355,,"346,17"
28/11/17 00:00,4,355,,
29/11/17 00:00,4,355,,"400,56"
30/11/17 00:00,4,355,,
01/10/18 00:00,4,355,,"623,9"
02/10/18 00:00,4,355,,
03/10/18 00:00,4,355,,"915,16"
04/10/18 00:00,4,355,,"184,9"
05/10/18 00:00,4,355,,"4473,71"
06/10/18 00:00,4,355,,"4107,2"
07/10/18 00:00,4,355,,
08/10/18 00:00,4,355,,
09/10/18 00:00,4,355,,"182,79"
10/10/18 00:00,4,355,,
11/10/18 00:00,4,355,,
12/10/18 00:00,4,355,,"454,14"
13/10/18 00:00,4,355,,
14/10/18 00:00,4,355,,445
15/10/18 00:00,4,355,,
16/10/18 00:00,4,355,,
17/10/18 00:00,4,355,,"153,1"
18/10/18 00:00,4,355,,"219,51"
19/10/18 00:00,4,355,,
20/10/18 00:00,4,355,,"440,04"
21/10/18 00:00,4,355,,
22/10/18 00:00,4,355,,
23/10/18 00:00,4,355,,"967,23"
24/10/18 00:00,4,355,,
25/10/18 00:00,4,355,,"637,94"
26/10/18 00:00,4,355,,
27/10/18 00:00,4,355,,"651,6"
28/10/18 00:00,4,355,,"320,04"
29/10/18 00:00,4,355,,572
30/10/18 00:00,4,355,,"3198,87"
31/10/18 00:00,4,355,,"1840,28"
01/11/18 00:00,4,355,,"1015,14"
02/11/18 00:00,4,355,,572
03/11/18 00:00,4,355,,
04/11/18 00:00,4,355,,"1324,84"
05/11/18 00:00,4,355,,
06/11/18 00:00,4,355,,"270,99"
07/11/18 00:00,4,355,,
08/11/18 00:00,4,355,,
09/11/18 00:00,4,355,,
10/11/18 00:00,4,355,,"622,72"
11/11/18 00:00,4,355,,
12/11/18 00:00,4,355,,"430,64"
13/11/18 00:00,4,355,,
14/11/18 00:00,4,355,,
15/11/18 00:00,4,355,,"149,32"
16/11/18 00:00,4,355,,
17/11/18 00:00,4,355,,
18/11/18 00:00,4,355,,
19/11/18 00:00,4,355,,
20/11/18 00:00,4,355,,"314,04"
21/11/18 00:00,4,355,,"445,84"
22/11/18 00:00,4,355,,
23/11/18 00:00,4,355,,"453,98"
24/11/18 00:00,4,355,,"805,54"
25/11/18 00:00,4,355,,"957,38"
26/11/18 00:00,4,355,,
27/11/18 00:00,4,355,,"464,29"
28/11/18 00:00,4,355,,"1555,39"
29/11/18 00:00,4,355,,
30/11/18 00:00,4,355,,
01/10/17 00:00,5,354,"822,96","340,44"
02/10/17 00:00,5,354,"822,96",
03/10/17 00:00,5,354,"822,96","79,48"
04/10/17 00:00,5,354,"822,96",
05/10/17 00:00,5,354,"822,96","686,5"
06/10/17 00:00,5,354,"822,96",
07/10/17 00:00,5,354,"822,96","859,32"
08/10/17 00:00,5,354,"822,96","354,8"
09/10/17 00:00,5,354,"822,96","712,06"
10/10/17 00:00,5,354,"822,96","232,64"
11/10/17 00:00,5,354,"822,96",
12/10/17 00:00,5,354,"822,96",
13/10/17 00:00,5,354,"822,96",
14/10/17 00:00,5,354,"822,96","777,04"
15/10/17 00:00,5,354,"822,96","322,4"
16/10/17 00:00,5,354,"822,96",
17/10/17 00:00,5,354,"822,96","314,4"
18/10/17 00:00,5,354,"822,96","633,38"
19/10/17 00:00,5,354,"822,96","909,42"
20/10/17 00:00,5,354,"822,96","2124,26"
21/10/17 00:00,5,354,"822,96","1374,9"
22/10/17 00:00,5,354,"822,96","462,03"
23/10/17 00:00,5,354,"822,96","1383,92"
24/10/17 00:00,5,354,"822,96","363,96"
25/10/17 00:00,5,354,"822,96",
26/10/17 00:00,5,354,"822,96",
27/10/17 00:00,5,354,"822,96","691,88"
28/10/17 00:00,5,354,"822,96","2057,16"
29/10/17 00:00,5,354,"822,96",
30/10/17 00:00,5,354,"822,96","170,05"
31/10/17 00:00,5,354,"822,96","1482,86"
01/11/17 00:00,5,354,"822,96",
02/11/17 00:00,5,354,"822,96",
03/11/17 00:00,5,354,"822,96",
04/11/17 00:00,5,354,"822,96","893,2"
05/11/17 00:00,5,354,"822,96","282,2"
06/11/17 00:00,5,354,"822,96",
07/11/17 00:00,5,354,"822,96","2825,18"
08/11/17 00:00,5,354,"822,96",
09/11/17 00:00,5,354,"822,96","638,72"
10/11/17 00:00,5,354,"822,96","185,2"
11/11/17 00:00,5,354,"822,96",
12/11/17 00:00,5,354,"822,96",
13/11/17 00:00,5,354,"822,96",
14/11/17 00:00,5,354,"822,96","556,02"
15/11/17 00:00,5,354,"822,96",
16/11/17 00:00,5,354,"822,96",
17/11/17 00:00,5,354,"822,96",
18/11/17 00:00,5,354,"822,96",
19/11/17 00:00,5,354,"822,96","326,36"
20/11/17 00:00,5,354,"822,96",
21/11/17 00:00,5,354,"822,96","623,42"
22/11/17 00:00,5,354,"822,96",
23/11/17 00:00,5,354,"822,96",
24/11/17 00:00,5,354,"822,96",
25/11/17 00:00,5,354,"822,96",
26/11/17 00:00,5,354,"822,96","751,8"
27/11/17 00:00,5,354,"822,96",
28/11/17 00:00,5,354,"822,96","414,88"
29/11/17 00:00,5,354,"822,96",
30/11/17 00:00,5,354,"822,96","442,16"
01/10/18 00:00,5,354,"822,96","161,1"
02/10/18 00:00,5,354,"822,96","378,7"
03/10/18 00:00,5,354,"822,96","381,34"
04/10/18 00:00,5,354,"822,96","1172,3"
05/10/18 00:00,5,354,"822,96","1072,84"
06/10/18 00:00,5,354,"822,96",
07/10/18 00:00,5,354,"822,96",
08/10/18 00:00,5,354,"822,96","296,09"
09/10/18 00:00,5,354,"822,96","423,38"
10/10/18 00:00,5,354,"822,96",
11/10/18 00:00,5,354,"822,96","681,12"
12/10/18 00:00,5,354,"822,96",
13/10/18 00:00,5,354,"822,96","910,2"
14/10/18 00:00,5,354,"822,96","872,4"
15/10/18 00:00,5,354,"822,96","143,78"
16/10/18 00:00,5,354,"822,96","476,74"
17/10/18 00:00,5,354,"822,96",
18/10/18 00:00,5,354,"822,96",
